Date,Open,High,Low,Close,Adj Close,Volume
2014-11-20,46.794998,47.145,46.715,46.935001,45.175751,575400
2014-11-21,47.59,47.645,46.904999,47.07,45.305683,3019800
2014-11-24,47.395,47.66,47.005001,47.404999,45.628132,593400
2014-11-25,47.5,47.875,47.220001,47.665001000000004,45.878384000000004,950800
2014-11-26,47.755001,47.790001000000004,47.424999,47.555,45.772511,703200
2014-11-28,47.919998,48.654999,47.744999,48.525002,46.706146000000004,471600
2014-12-01,48.98,48.985001000000004,47.665001000000004,47.790001000000004,45.998703000000006,993000
2014-12-02,47.924999,48.110001000000004,47.57,48.0,46.353596,1228800
2014-12-03,46.75,46.799999,45.580002,46.125,44.542912,2480800
2014-12-04,45.93,46.355,45.215,45.465,43.905544,1897200
2014-12-05,45.525002,45.790001000000004,45.185001,45.634997999999996,44.069717,1432800
2014-12-08,45.395,45.755001,45.075001,45.5,43.939346,1123600
2014-12-09,44.825001,45.205002,44.465,45.18,43.630325,1322600
2014-12-10,44.970001,45.275002,43.865002000000004,43.939999,42.43285,1692000
2014-12-11,43.91,45.02,43.900002,44.639998999999996,43.108841,1639400
2014-12-12,44.235001000000004,44.735001000000004,43.275002,43.279999,41.795497999999995,1446800
2014-12-15,43.325001,43.77,43.09,43.310001,41.824467,1567200
2014-12-16,42.919998,43.834998999999996,42.775002,42.834998999999996,41.365749,1347000
2014-12-17,43.025002,43.84,42.715,43.595001,42.099686,975200
2014-12-18,43.974998,44.389998999999996,43.945,44.389998999999996,42.86742,1511400
2014-12-19,44.470001,44.654999,43.900002,44.060001,42.54874,2209400
2014-12-22,44.169998,44.59,44.169998,44.560001,43.03159,1170400
2014-12-23,44.75,45.105,44.419998,45.005001,43.461327000000004,824400
2014-12-24,45.115002000000004,45.34,44.924999,45.205002,43.654465,497800
2014-12-26,45.255001,45.5,45.044998,45.134997999999996,43.586864,540800
2014-12-29,45.0,45.095001,44.73,44.880001,43.340610999999996,484200
2014-12-30,44.880001,44.880001,44.334998999999996,44.375,42.852932,808000
2014-12-31,44.400002,44.650002,43.884997999999996,43.919998,42.413540000000005,950200
2015-01-02,43.98,44.264998999999996,43.744999,44.125,42.611507,1204000
2015-01-05,43.805,44.209998999999996,43.805,43.884997999999996,42.379742,1104800
2015-01-06,44.009997999999996,44.345001,43.474998,43.645,42.147968,1810000
2015-01-07,43.889998999999996,44.580002,43.529999,44.389998999999996,42.86742,1003000
2015-01-08,44.860001000000004,45.174999,44.57,45.07,43.52409,1428800
2015-01-09,45.389998999999996,45.450001,44.52,44.544998,43.017105,810600
2015-01-12,44.810001,44.939999,44.415001000000004,44.779999,43.244040999999996,970800
2015-01-13,45.064999,45.490002000000004,44.34,44.665001000000004,43.132988,627000
2015-01-14,44.25,44.650002,44.080002,44.57,43.041247999999996,777800
2015-01-15,44.584998999999996,44.959998999999996,44.189999,44.375,42.852932,988600
2015-01-16,44.264998999999996,44.744999,44.139998999999996,44.720001,43.186096,1365600
2015-01-20,45.25,45.645,44.580002,45.525002,43.96349,1011200
2015-01-21,45.279999,46.09,45.195,45.880001,44.306305,1088200
2015-01-22,46.150002,46.735001000000004,45.509997999999996,46.689999,45.088528000000004,1341200
2015-01-23,46.915001000000004,46.915001000000004,46.060001,46.459998999999996,44.866413,988400
2015-01-26,46.459998999999996,46.494999,45.959998999999996,46.244999,44.658787,773800
2015-01-27,45.845001,45.970001,45.325001,45.505001,43.944176,866800
2015-01-28,45.900002,45.994999,45.044998,45.09,43.543411,736400
2015-01-29,45.169998,45.345001,44.5,45.220001,43.668953,796000
2015-01-30,44.834998999999996,44.98,44.349998,44.435001,42.910877,1503400
2015-02-02,44.494999,45.009997999999996,44.134997999999996,45.0,43.456497,926200
2015-02-03,45.125,45.544998,44.455002,44.860001000000004,43.321296999999994,1055600
2015-02-04,44.73,45.299999,44.52,44.755001,43.219894000000004,814400
2015-02-05,44.75,45.200001,44.685001,45.154999,43.606173999999996,558800
2015-02-06,45.369999,45.404999,44.919998,45.095001,43.548241,930600
2015-02-09,44.950001,44.950001,44.380001,44.610001000000004,43.079871999999995,1020200
2015-02-10,45.110001000000004,45.145,44.459998999999996,44.82,43.282669,938600
2015-02-11,44.855,45.369999,44.84,45.299999,43.746204,897600
2015-02-12,45.215,45.700001,45.154999,45.5,43.939346,657600
2015-02-13,45.275002,45.540001000000004,45.110001000000004,45.360001000000004,43.80415,514800
2015-02-17,45.389998999999996,45.735001000000004,45.119999,45.619999,44.055233,498200
2015-02-18,45.380001,46.029999,45.264998999999996,45.985001000000004,44.407711,448800
2015-02-19,45.955002,46.150002,45.445,45.764998999999996,44.195254999999996,459200
2015-02-20,45.564999,46.169998,45.150002,46.105,44.523598,1028000
2015-02-23,46.169998,46.275002,46.0,46.134997999999996,44.552559,414600
2015-02-24,46.139998999999996,46.275002,45.98,46.110001000000004,44.528423,703600
2015-02-25,46.264998999999996,46.264998999999996,45.779999,45.98,44.402882,596600
2015-02-26,46.125,46.41,45.985001000000004,46.209998999999996,44.624992,715600
2015-02-27,46.34,46.349998,45.695,45.845001,44.272511,691000
2015-03-02,45.845001,46.139998999999996,45.57,45.939999,44.364258,857400
2015-03-03,45.959998999999996,46.200001,45.435001,45.605,44.040745,958400
2015-03-04,45.950001,45.994999,45.07,45.200001,43.649639,1288000
2015-03-05,45.404999,45.654999,45.110001000000004,45.395,43.837948,883400
2015-03-06,44.555,44.82,44.235001000000004,44.380001,43.006972999999995,1212400
2015-03-09,44.400002,44.720001,44.279999,44.435001,43.060276,859200
2015-03-10,44.099998,44.485001000000004,44.014998999999996,44.095001,42.730796999999995,1037600
2015-03-11,44.055,44.200001,43.580002,43.724998,42.372246000000004,919200
2015-03-12,43.950001,45.014998999999996,43.799999,44.974998,43.583560999999996,749200
2015-03-13,45.0,45.075001,44.145,44.314999,42.943985,780200
2015-03-16,44.535,44.740002000000004,44.314999,44.720001,43.336456,891600
2015-03-17,44.310001,44.560001,44.0,44.455002,43.079654999999995,912800
2015-03-18,44.400002,44.965,43.355,44.66,43.278316,1802800
2015-03-19,44.695,44.695,44.360001000000004,44.535,43.157173,897200
2015-03-20,44.485001000000004,45.169998,44.485001000000004,44.869999,43.481819,1552200
2015-03-23,44.924999,45.02,44.380001,44.380001,43.006972999999995,1094800
2015-03-24,44.490002000000004,44.700001,43.904999,43.924999,42.566051,1441600
2015-03-25,44.215,44.215,43.474998,43.485001000000004,42.139671,1039200
2015-03-26,43.705002,44.48,43.59,44.235001000000004,42.866463,1326600
2015-03-27,44.130001,44.82,44.130001,44.709998999999996,43.326767,1006200
2015-03-30,44.755001,45.494999,44.5,45.400002,43.995419,1137000
2015-03-31,45.264998999999996,45.474998,45.125,45.174999,43.777378000000006,1361600
2015-04-01,44.869999,45.044998,44.34,44.544998,43.166866,1040200
2015-04-02,44.48,45.650002,44.48,45.540001000000004,44.131091999999995,1081800
2015-04-06,45.375,46.279999,45.215,46.115002000000004,44.688297,933000
2015-04-07,46.080002,46.595001,45.904999,46.310001,44.877266,1023000
2015-04-08,46.380001,46.43,45.904999,46.105,44.678612,914600
2015-04-09,45.965,46.740002000000004,45.875,46.619999,45.177673,1663800
2015-04-10,46.490002000000004,46.939999,46.41,46.799999,45.3521,1051400
2015-04-13,46.91,46.994999,46.279999,46.285,44.853039,901800
2015-04-14,46.185001,46.435001,45.965,46.355,44.920876,495600
2015-04-15,46.595001,46.75,46.360001000000004,46.52,45.080769000000004,566600
2015-04-16,46.509997999999996,46.77,46.169998,46.630001,45.187366,636600
2015-04-17,46.419998,46.474998,45.985001000000004,46.255001,44.823971,828600
2015-04-20,46.400002,46.849998,46.400002,46.654999,45.21159,826200
2015-04-21,46.68,46.939999,46.279999,46.654999,45.21159,891200
2015-04-22,46.529999,46.630001,46.049999,46.325001,44.891808000000005,695000
2015-04-23,46.125,46.220001,45.830002,45.830002,44.412125,731600
2015-04-24,45.955002,46.145,45.59,45.669998,44.257065000000004,618600
2015-04-27,45.75,45.900002,45.564999,45.59,44.179546,853200
2015-04-28,45.584998999999996,46.259997999999996,45.560001,46.115002000000004,44.688297,819800
2015-04-29,45.715,46.07,45.505001,45.575001,44.165001000000004,813800
2015-04-30,45.5,45.724998,44.945,45.115002000000004,43.719234,1285000
2015-05-01,45.130001,45.84,45.130001,45.794998,44.378197,945200
